company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,postcode,lng,lat
MINDFLOOD LTD,NI611217,Dissolved,Private limited company,,2021-07-13,2012-02-16,,,32200 47591 74100,"Rsm Number One, Lanyon Quay Belfast BT1 3LG ",BT1 3LG,-5.921014,54.598346
VIKING GUITARS LTD,12878472,Dissolved,Private limited company,,2023-03-07,2020-09-14,,,32200,5 Hill Close Newmarket CB8 0NR England,CB8 0NR,0.39175,52.244232
FABRICA AESTHETICA LIMITED,12340587,Dissolved,Private limited company,,2021-12-14,2019-11-29,,,31090 32200 32990,Old House Church Road Spexhall Halesworth IP19 0RQ England,IP19 0RQ,1.493368,52.367215
TIMELESS WOODGRAINS LTD,12932007,Dissolved,Private limited company,,2022-03-22,2020-10-06,,,31090 32200,19 Stevenson Court Casnewydd NP10 0BJ United Kingdom,NP10 0BJ,-3.048699,51.593566
FURNITURE SPACE LTD,12825813,Dissolved,Private limited company,,2023-11-28,2020-08-20,,,31010 31020 31090 32200,53 Beauchamp Road Kenilworth Kenilworth CV8 1GH United Kingdom,CV8 1GH,-1.582898,52.334988
A2Z IMPEX LTD,13070420,Dissolved,Private limited company,,2022-05-17,2020-12-08,,,13990 14110 32200 32300,68 Duncan Road Manchester M13 0GU England,M13 0GU,-2.201214,53.452388
FEN CONSULTING LTD,07011360,Dissolved,Private limited company,,2023-03-14,2009-09-07,,,32200,7 Aldridge Walk London N14 6AF ,N14 6AF,-0.122495,51.635262
THE BEAST UK LIMITED,06615606,Dissolved,Private limited company,,2015-10-27,2008-06-10,,,32200,108 Sandford Road Chelmsford CM2 6DH ,CM2 6DH,0.493169,51.735706
VANQUISH SOUNDS LIMITED,06694989,Dissolved,Private limited company,,2019-06-11,2008-09-11,,,32200 47591,"Unit 56 Culley Court Bakewell Road, Orton Southgate Peterborough PE2 6WA ",PE2 6WA,-0.320827,52.540048
VEGAN MUSICAL INSTRUMENTS LTD.,11284234,Dissolved,Private limited company,,2021-08-24,2018-03-29,,,32200 47591,Colbea Central Colchester Colchester Business Centre 1 George Williams Way Colchester CO1 2JS United Kingdom,CO1 2JS,0.908531,51.886076
JJL GUITARS LIMITED,11768284,Liquidation,Private limited company,,,2019-01-15,,,32200,Lawrence House 5 St. Andrews Hill Norwich NR2 1AD ,NR2 1AD,1.29588,52.629974
VARLETTE UK LTD,11784979,Dissolved,Private limited company,,2021-07-27,2019-01-24,,,32200 45400 47591,19 Broadacres Garth Carlton Goole DN14 9QD United Kingdom,DN14 9QD,-1.016266,53.713517
GRYPHLAR AUDIO LIMITED,11805997,Dissolved,Private limited company,,2021-05-18,2019-02-04,,,32200,12 Rowborough Close Rowborough Close Hatton Park Warwick CV35 7TD United Kingdom,CV35 7TD,-1.632695,52.297546
CRONA MUSIC LTD,12149857,Dissolved,Private limited company,,2021-03-30,2019-08-12,,,32200 59200,30b Hornton Street Hornton Street London W8 4NR United Kingdom,W8 4NR,-0.193871,51.501962
HORTUS LANDSCAPING SOLUTIONS LIMITED,12185035,Dissolved,Private limited company,,2021-11-02,2019-09-02,,,32200,D2 The Courtyard Alban Park Hatfield Road AL4 0LA United Kingdom,AL4 0LA,-0.280228,51.750127
NOVAPANS HANDPANS LTD,11194209,Dissolved,Private limited company,,2019-07-16,2018-02-08,,,32200,30 Aldwych Bush House 30 Aldwych London WC2B 4BG United Kingdom,WC2B 4BG,-0.117067,51.51258
DARK HORSE INDUSTRIES LIMITED,11217347,Dissolved,Private limited company,,2021-11-30,2018-02-21,,,32200,29/30 Fitzroy Square London W1T 6LQ United Kingdom,W1T 6LQ,-0.140657,51.522542
JIMBOWIEGUITARCOMPANY LTD,11227528,Dissolved,Private limited company,,2019-08-06,2018-02-27,,,32200,"8, West Crescent West Crescent Accrington BB5 5BU United Kingdom",BB5 5BU,-2.368794,53.763862
PEAKTONE MUSIC LTD,11997376,Dissolved,Private limited company,,2021-09-07,2019-05-15,,,32200,8 Bowbridge Wharf Stroud GL5 2LD United Kingdom,GL5 2LD,-2.210123,51.738276
MGT GUITARS LTD,SC653235,Dissolved,Private limited company,,2022-03-22,2020-02-03,,,32200,22 Slains Drive Elgin IV30 8AP Scotland,IV30 8AP,-3.310196,57.629186
R.K.O. PRODUCTIONS LIMITED,SC679499,Dissolved,Private limited company,,2023-04-18,2020-11-02,,,32200,17 Cairnston Avenue Drongan Ayr KA6 7AE Scotland,KA6 7AE,-4.46692,55.435187
SHIELDS INSTRUMENTS LTD,SC680931,Dissolved,Private limited company,,2022-10-18,2020-11-16,,,32200,Drumadarragh Shore Road Kilcreggan Helensburgh G84 0HW Scotland,G84 0HW,-4.843297,55.986471
MUSICOM LIMITED,01849768,Dissolved,Private limited company,,2013-11-07,1984-09-20,,,26400 32200,Third Floor Fort Dunlop Fort Parkway Birmingham B24 9FD ,B24 9FD,-1.811308,52.510033
BULLET AND KITCH LTD,SC399940,Dissolved,Private limited company,,2017-06-13,2011-05-20,,,32200 71121,5 Atholl Crescent Edinburgh EH3 8EJ ,EH3 8EJ,-3.210973,55.948401
MCALLISTER PIPING LTD,SC461163,Dissolved,Private limited company,,2016-07-12,2013-10-09,,,32200,39 May Gardens Wishaw ML2 7PB ,ML2 7PB,-3.929016,55.778872
MARTYN BOOTH GUITARS LIMITED,05094700,Dissolved,Private limited company,,2013-07-30,2004-04-05,,,32200,The Lodge Beacon End Farmhouse London Road Stanway Colchester CO3 0NQ ,CO3 0NQ,0.836509,51.887575
FULLMOOSE LTD,10692596,Dissolved,Private limited company,,2023-01-31,2017-03-27,,,32200 47591 59200 62020,65 Moseley Road Annesley Nottingham NG15 0AB England,NG15 0AB,-1.233866,53.078869
THE LED FOOT TRADING COMPANY LIMITED,10512045,Dissolved,Private limited company,,2020-10-20,2016-12-06,,,32200,Unit 2 The Craven Arms Centre Craven Arms SY7 9PY England,SY7 9PY,-2.835416,52.442323
RUBY GUITARS LTD,10475232,Dissolved,Private limited company,,2021-03-30,2016-11-11,,,32200,59a Old Street Haughley Stowmarket IP14 3NT England,IP14 3NT,0.96695,52.220441
HAMMER MUSIC LIMITED,10679715,Dissolved,Private limited company,,2018-08-28,2017-03-20,,,32200,"4 Total House 4 Total House ,Tanyard Lane Steyning BN44 3UE United Kingdom",BN44 3UE,-0.329601,50.890706
DUKE UKULELE CO LTD,10795797,Dissolved,Private limited company,,2022-12-27,2017-05-31,,,32200 46491 46499 47591,Archer House Britland Estate Northbourne Road Eastbourne BN22 8PW England,BN22 8PW,0.29926,50.785279
CHERRY AMPLIFICATION LTD,10827794,Dissolved,Private limited company,,2019-11-05,2017-06-20,,,32200,62 62 Roffes Lane Chaldon CR3 5PT United Kingdom,CR3 5PT,-0.09979,51.277633
BOULT GUITARS LTD,11116856,Dissolved,Private limited company,,2020-11-17,2017-12-19,,,32200 46491,11116856: COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
WRAGGI LIMITED,11101399,Dissolved,Private limited company,,2020-01-21,2017-12-07,,,32200,60 Roft Street Oswestry SY11 2EP United Kingdom,SY11 2EP,-3.055123,52.856628
RAGH GUITAR LIMITED,SC575377,Dissolved,Private limited company,,2019-08-20,2017-09-04,,,32200,2 Kinloch Avenue Stewarton Kilmarnock KA3 3HF Scotland,KA3 3HF,-4.526106,55.682891
CALDER GUITAR WORKS LTD,SC580647,Dissolved,Private limited company,,2019-12-17,2017-11-03,,,32200 33190 47591,7 Park Place Coatbridge ML5 4SW United Kingdom,ML5 4SW,-4.000889,55.84986
ROBERTSON'S ORIGINAL SEASONING COMPANY LIMITED,SC291692,Dissolved,Private limited company,,2017-01-03,2005-10-13,,,32200,"11, 10 Princess Road Strathclyde Business Centre New Stevenson North Lanarkshire ML1 4JD Scotland",ML1 4JD,-3.981809,55.813656
J & R GLEN LIMITED,SC351043,Dissolved,Private limited company,,2018-02-06,2008-11-10,,,32200,79 Garrowhill Drive Baillieston Glasgow G69 6NW Scotland,G69 6NW,-4.127486,55.852966
A.T.GUITARS LTD,SC514544,Dissolved,Private limited company,,2018-12-11,2015-09-02,,,32200,98 98 Alexandra Street Kirkcaldy KY1 1HH United Kingdom,KY1 1HH,-3.158644,56.116074
FINGERBONE LIMITED,02567472,Dissolved,Private limited company,,2014-05-20,1990-12-11,,,32200,Becketts  Pylegate Farm Hartfield Road Cowden TN8 7HE ,TN8 7HE,0.097909,51.156373
GREYAREA SOLUTIONS LTD,03342930,Dissolved,Private limited company,,2014-05-27,1997-04-01,,,32200,"2 Heyes Leigh, Heyes Drive Timperley, Altrincham Cheshire WA15 6EY ",WA15 6EY,-2.321842,53.401994
